number,country,flag,vendor,type,level,bank
361558,AE,🇦🇪,DINERS CLUB INTERNATIONAL,CREDIT,PERSONAL,
495952,US,🇺🇸,VISA,CREDIT,,
621970,US,🇺🇸,EBT,DEBIT,PROPRIETARY,
452091,CA,🇨🇦,VISA,CREDIT,GOLD,TORONTO-DOMINION BANK
489161,SL,🇸🇱,VISA,DEBIT,GOLD,
115325,CA,🇨🇦,PRIVATE LABEL,,,CORBEIL - TDFS
491205,TR,🇹🇷,VISA,DEBIT,ELECTRON,"YAPI VE KREDI BANKASI, A.S."
530156,AD,🇦🇩,MASTERCARD,CREDIT,,"ANDORRA BANC AGRICOL REIG, S.A."
243029,,◻️,MASTERCARD,,,
348079,US,🇺🇸,AMERICAN EXPRESS,CREDIT,,
401978,SA,🇸🇦,VISA,DEBIT,PREPAID,BANQUE SAUDI FRANSI
251479,,◻️,MASTERCARD,,,
572671,US,🇺🇸,EBT,DEBIT,,
458799,US,🇺🇸,VISA,DEBIT,GIFT,PEOPLES TRUST
429442,US,🇺🇸,VISA,DEBIT,CLASSIC,BANK OF YORK
354307,JP,🇯🇵,JCB,CREDIT,STANDARD,
471540,NZ,🇳🇿,VISA,CREDIT,PURCHASING,"ANZ NATIONAL BANK, LTD."
476474,US,🇺🇸,VISA,DEBIT,BUSINESS,SERVICES C.U.
235596,,◻️,MASTERCARD,,,
592018,CN,🇨🇳,MAESTRO,DEBIT,STANDARD,
113178,JP,🇯🇵,UATP,CREDIT,UATP,JAPAN AIRLINES INTERNATIONAL (JL)
401296,US,🇺🇸,VISA,CREDIT,,
456400,RO,🇷🇴,VISA,DEBIT,BUSINESS,"BRD - GROUPE SOCIETE GENERALE, S.A."
553977,US,🇺🇸,MASTERCARD,DEBIT,STANDARD,FISERV SOLUTIONS LLC
535301,AU,🇦🇺,MASTERCARD,DEBIT,,
432110,DE,🇩🇪,VISA,CREDIT,CLASSIC,VON ESSEN KG BANKGESELLSCHAFT
524630,IT,🇮🇹,MASTERCARD,CREDIT,,
676348,RU,🇷🇺,MAESTRO,DEBIT,PERSONAL,JSCB ROSSIYSKY KAPITAL
242771,,◻️,MASTERCARD,,,
435621,US,🇺🇸,VISA,CREDIT,CLASSIC,"BANK OF AMERICA, N.A."
427663,RU,🇷🇺,VISA,DEBIT,CLASSIC,SAVINGS BANK OF THE RUSSIAN FEDERATION (SBERBANK)
237901,,◻️,MASTERCARD,,,
540857,US,🇺🇸,MASTERCARD,DEBIT,STANDARD,"ASSOCIATED BANK, N.A."
122036,DE,🇩🇪,UATP,CREDIT,UATP,LUFTHANSA GERMAN AIRLINES (LH)
527367,US,🇺🇸,MASTERCARD,DEBIT,GIFT,FISERV SOLUTIONS LLC
486159,US,🇺🇸,VISA,DEBIT,BUSINESS,HOME SAVINGS AND LOAN COMPANY OF YOUNGSTOWN
241132,,◻️,MASTERCARD,,,
425943,CL,🇨🇱,VISA,DEBIT,CLASSIC,BANCO BICE
547467,IN,🇮🇳,MASTERCARD,CREDIT,BUSINESS,"ICICI BANK, LTD."
904442,CA,🇨🇦,PRIVATE LABEL,,,YARD CARD CANADA
469432,US,🇺🇸,VISA,DEBIT,CLASSIC,FORT GORDON F.C.U.
340374,MY,🇲🇾,AMERICAN EXPRESS,CREDIT,STANDARD,
519054,US,🇺🇸,MASTERCARD,DEBIT,BUSINESS,"ASSOCIATED BANK, N.A."
533972,US,🇺🇸,MASTERCARD,CREDIT,PLATINUM,FISERV SOLUTIONS LLC
479312,BR,🇧🇷,VISA,CREDIT,CLASSIC,
659807,US,🇺🇸,DISCOVER,CREDIT,PERSONAL,DISCOVER BANK
234434,,◻️,MASTERCARD,,,
480596,US,🇺🇸,VISA,CREDIT,,
345532,US,🇺🇸,AMERICAN EXPRESS,CREDIT,,
527926,JP,🇯🇵,MASTERCARD,CREDIT,STANDARD,"DC CARD CO., LTD."
418513,US,🇺🇸,VISA,DEBIT,CLASSIC,"WELLS FARGO BANK, N.A."
652781,IN,🇮🇳,DISCOVER,CREDIT,PERSONAL,DISCOVER BANK
670558,BE,🇧🇪,MAESTRO,DEBIT,PERSONAL,EUROPAY BELGIUM S.C.R.L.
855396,CA,🇨🇦,PRIVATE LABEL,,,FUTURE SHOP - HSBC
468262,US,🇺🇸,VISA,CREDIT,CLASSIC,TCM BANK N.A.
597275,IT,🇮🇹,MAESTRO,DEBIT,STANDARD,
474934,US,🇺🇸,VISA,CREDIT,,
479576,US,🇺🇸,VISA,CREDIT,,
348349,US,🇺🇸,AMERICAN EXPRESS,CREDIT,,
427015,DE,🇩🇪,VISA,CREDIT,BUSINESS,
512420,CW,🇨🇼,MASTERCARD,CREDIT,GOLD,"MADURO AND CURIEL'S BANK, N.V."
270326,,◻️,MASTERCARD,,,
508442,US,🇺🇸,EBT,DEBIT,,
525027,JP,🇯🇵,MASTERCARD,CREDIT,STANDARD,"UC CARD CO., LTD."
419669,CA,🇨🇦,VISA,CREDIT,BUSINESS INFINITE,
242615,,◻️,MASTERCARD,,,
228639,,◻️,MASTERCARD,,,
450001,CA,🇨🇦,VISA,CREDIT,,CANADIAN IMPERIAL BANK OF COMMERCE
488909,AE,🇦🇪,VISA,DEBIT,PREPAID,
477361,AU,🇦🇺,VISA,CREDIT,CLASSIC,BIG SKY C.U.
381961,US,🇺🇸,DISCOVER,CREDIT,BUSINESS,
354958,JP,🇯🇵,JCB,CREDIT,,
385457,US,🇺🇸,DISCOVER,CREDIT,BUSINESS,
397785,US,🇺🇸,DISCOVER,CREDIT,BUSINESS,
579100,MX,🇲🇽,MAESTRO,DEBIT,,
405461,PH,🇵🇭,VISA,CREDIT,GOLD,STANDARD CHARTERED BANK
305477,US,🇺🇸,DINERS CLUB INTERNATIONAL,CREDIT,BUSINESS,
267136,,◻️,MASTERCARD,,,
462368,US,🇺🇸,VISA,CREDIT,,
553050,MK,🇲🇰,MASTERCARD,CREDIT,STANDARD,INVESTBANKA AD SKOPJE
581341,US,🇺🇸,EBT,DEBIT,,
677050,AM,🇦🇲,MAESTRO,DEBIT,PERSONAL,INDUSTRIAL CONSTRUCTION BANK CLOSED JOINT-STOCK COMPANY (ARDSHINBANK
236294,,◻️,MASTERCARD,,,
480748,US,🇺🇸,VISA,CREDIT,,"BMO HARRIS BANK, N.A."
105059,CA,🇨🇦,PRIVATE LABEL,,,CASTLE BUILDING CENTRES - TDFS
487130,US,🇺🇸,VISA,CREDIT,,
491502,MX,🇲🇽,VISA,CREDIT,CLASSIC,TARJETAS BANAMEX S.A. DE C.V. SOFOM ENTIDAD REGULADA
397933,US,🇺🇸,DISCOVER,CREDIT,BUSINESS,
545204,RU,🇷🇺,MASTERCARD,CREDIT,WORLD,JSCB ROSBANK
531087,BR,🇧🇷,MASTERCARD,CREDIT,BUSINESS,"ITAU UNIBANCO, S.A."
434187,BD,🇧🇩,VISA,CREDIT,GOLD,"NRB BANK, LTD."
473895,US,🇺🇸,VISA,CREDIT,,
495872,US,🇺🇸,VISA,CREDIT,,
358746,JP,🇯🇵,JCB,CREDIT,STANDARD,JKJK
401765,MA,🇲🇦,VISA,CREDIT,CLASSIC,BANQUE MAROCAINE DU COMMERCE EXTERIEUR
485257,US,🇺🇸,VISA,CREDIT,CLASSIC,FIRST FEDERAL BANK OF THE MIDWEST
238124,,◻️,MASTERCARD,,,
475665,US,🇺🇸,VISA,DEBIT,CLASSIC,GREAT NORTHWEST F.C.U.
493322,US,🇺🇸,VISA,CREDIT,,
583200,US,🇺🇸,EBT,DEBIT,,
407845,US,🇺🇸,VISA,CREDIT,,
546192,US,🇺🇸,MASTERCARD,DEBIT,STANDARD,CU COOPERATIVE SYSTEMS
595004,BR,🇧🇷,MAESTRO,DEBIT,STANDARD,
594394,IN,🇮🇳,MAESTRO,DEBIT,STANDARD,
590373,TR,🇹🇷,MAESTRO,DEBIT,STANDARD,
477226,ES,🇪🇸,VISA,CREDIT,,
501407,US,🇺🇸,EBT,DEBIT,,
308941,JP,🇯🇵,JCB,,,
596383,GB,🇬🇧,MAESTRO,DEBIT,STANDARD,
245798,,◻️,MASTERCARD,,,
333924,JP,🇯🇵,JCB,,,
550799,US,🇺🇸,MASTERCARD,DEBIT,STANDARD,JACK HENRY & ASSOCIATES
423365,MG,🇲🇬,VISA,DEBIT,PREPAID,BANQUE MALGACHE DE LOCEAN INDIEN
607567,IN,🇮🇳,RUPAY,DEBIT,CLASSIC,"GURDASPUR CENTRAL COOP BANK, LTD."
414553,US,🇺🇸,VISA,CREDIT,,"KEYBANK, N.A."
552170,FI,🇫🇮,MASTERCARD,CREDIT,PLATINUM,DANSKE BANK OYJ
257901,,◻️,MASTERCARD,,,
553154,MY,🇲🇾,MASTERCARD,CREDIT,WORLD ELITE,STANDARD CHARTERED BANK MALAYSIA BERHAD
644198,US,🇺🇸,DISCOVER,CREDIT,PERSONAL,DISCOVER BANK
101608,US,🇺🇸,UATP,CREDIT,UATP,UNITED AIRLINES (UA)
387036,US,🇺🇸,DISCOVER,CREDIT,BUSINESS,
512672,RO,🇷🇴,MASTERCARD,CREDIT,STANDARD,CETELEM IFN S.A.
523948,US,🇺🇸,MASTERCARD,CREDIT,PLATINUM,CENTRAL FLORIDA EDUCATORS' F.C.U.
561101,US,🇺🇸,EBT,DEBIT,STANDARD,
810034,CN,🇨🇳,CHINA UNION PAY,,,
658815,US,🇺🇸,DISCOVER,CREDIT,PERSONAL,DISCOVER BANK
304442,US,🇺🇸,DINERS CLUB INTERNATIONAL,CREDIT,BUSINESS,
222996,,◻️,MASTERCARD,,,
264156,,◻️,MASTERCARD,,,
357086,JP,🇯🇵,JCB,CREDIT,,
657170,US,🇺🇸,DISCOVER,CREDIT,PERSONAL,DISCOVER BANK
220325,RU,🇷🇺,NSPK MIR,DEBIT,,
300580,US,🇺🇸,DINERS CLUB INTERNATIONAL,CREDIT,BUSINESS,
387464,US,🇺🇸,DISCOVER,CREDIT,BUSINESS,
453277,US,🇺🇸,VISA,DEBIT,CLASSIC,"WELLS FARGO BANK, N.A."
110861,CA,🇨🇦,PRIVATE LABEL,,,BOSE - TDFS
647251,US,🇺🇸,DISCOVER,CREDIT,PERSONAL,DISCOVER BANK
361984,BR,🇧🇷,DINERS CLUB INTERNATIONAL,CREDIT,STANDARD,
248711,,◻️,MASTERCARD,,,
259256,,◻️,MASTERCARD,,,
264985,,◻️,MASTERCARD,,,
264939,,◻️,MASTERCARD,,,
403385,RU,🇷🇺,VISA,DEBIT,CLASSIC,CB CJSC NATZINVESTPROMBANK (NATIONAL INVESTMENT INDUSTRIAL BANK)
511796,PL,🇵🇱,MASTERCARD,DEBIT,STANDARD,EURO BANK S.A.
382996,US,🇺🇸,DISCOVER,CREDIT,BUSINESS,
396994,US,🇺🇸,DISCOVER,CREDIT,BUSINESS,
590581,DK,🇩🇰,MAESTRO,DEBIT,STANDARD,
596455,AU,🇦🇺,MAESTRO,DEBIT,STANDARD,
812187,CN,🇨🇳,CHINA UNION PAY,,,
442347,US,🇺🇸,VISA,DEBIT,CLASSIC,"RAYMOND JAMES BANK, F.S.B."
516118,US,🇺🇸,MASTERCARD,DEBIT,PREPAID,METABANK
343608,US,🇺🇸,AMERICAN EXPRESS,CREDIT,,
266649,,◻️,MASTERCARD,,,
558162,US,🇺🇸,MASTERCARD,CREDIT,BUSINESS,FIRST NIAGARA BANK
447803,MK,🇲🇰,VISA,CREDIT,CLASSIC,KOMERCIJALNA BANKA A.D. SKOPJE
427813,RS,🇷🇸,VISA,DEBIT,BUSINESS,MARFIN BANK AD BEOGRAD
459489,IT,🇮🇹,VISA,CREDIT,INFINITE,UNICREDIT S.P.A.
485658,ES,🇪🇸,VISA,CREDIT,BUSINESS,"BANCO POPULAR ESPANOL, S.A."
610479,US,🇺🇸,EBT,DEBIT,PROPRIETARY,
672520,DE,🇩🇪,MAESTRO,DEBIT,,EURO KARTENSYSTEME GMBH
436889,US,🇺🇸,VISA,CREDIT,,
431504,US,🇺🇸,VISA,DEBIT,BUSINESS,ANHEUSER-BUSCH EMPLOYEES C.U.
398313,US,🇺🇸,DISCOVER,CREDIT,BUSINESS,
517679,US,🇺🇸,MASTERCARD,CREDIT,,FIRST NATIONAL BANK OF OMAHA
518755,CD,🇨🇩,MASTERCARD,DEBIT,STANDARD,CSCBANK SAL
656885,US,🇺🇸,DISCOVER,CREDIT,PERSONAL,DISCOVER BANK
261942,,◻️,MASTERCARD,,,
555071,US,🇺🇸,MASTERCARD,CREDIT,PURCHASING,WEX BANK
596033,CN,🇨🇳,MAESTRO,DEBIT,STANDARD,
302594,US,🇺🇸,DINERS CLUB INTERNATIONAL,CREDIT,BUSINESS,
398987,US,🇺🇸,DISCOVER,CREDIT,BUSINESS,
300062,CO,🇨🇴,DINERS CLUB INTERNATIONAL,CREDIT,STANDARD,
489942,CR,🇨🇷,VISA,CREDIT,GOLD,"BANCO PROMERICA DE COSTA RICA, S.A."
444797,US,🇺🇸,VISA,DEBIT,CLASSIC,CREDIT UNION 1
488226,US,🇺🇸,VISA,CREDIT,,
303936,US,🇺🇸,DINERS CLUB INTERNATIONAL,CREDIT,BUSINESS,
220051,RU,🇷🇺,NSPK MIR,DEBIT,,
479755,RU,🇷🇺,VISA,DEBIT,CLASSIC,ZAO BANK SOVETSKY
482880,US,🇺🇸,VISA,DEBIT,BUSINESS,"WELLS FARGO BANK, N.A.."
500813,US,🇺🇸,EBT,DEBIT,,
398665,US,🇺🇸,DISCOVER,CREDIT,BUSINESS,
261006,,◻️,MASTERCARD,,,
553755,US,🇺🇸,MASTERCARD,DEBIT,STANDARD,JACK HENRY & ASSOCIATES
402024,US,🇺🇸,VISA,CREDIT,CLASSIC,"PSE CREDIT UNION, INC."
403328,IT,🇮🇹,VISA,CREDIT,,NEXI PAYMENTS S.P.A.
648896,US,🇺🇸,DISCOVER,CREDIT,PERSONAL,DISCOVER BANK
341439,US,🇺🇸,AMERICAN EXPRESS,CREDIT,,
265595,,◻️,MASTERCARD,,,
371759,US,🇺🇸,AMERICAN EXPRESS,CREDIT,CONSUMER CHARGE,AMERICAN EXPRESS US CONSUMER
424454,JO,🇯🇴,VISA,DEBIT,ELECTRON,ISLAMIC INTERNATIONAL ARAB BANK PLC
270840,,◻️,MASTERCARD,,,
507749,US,🇺🇸,EBT,DEBIT,,
421655,AG,🇦🇬,VISA,DEBIT,CLASSIC,"GLOBAL BANK OF COMMERCE, LTD."
650748,US,🇺🇸,DISCOVER,CREDIT,PERSONAL,DISCOVER BANK
588588,US,🇺🇸,EBT,DEBIT,,
302093,US,🇺🇸,DINERS CLUB INTERNATIONAL,CREDIT,BUSINESS,
349407,US,🇺🇸,AMERICAN EXPRESS,CREDIT,,
502443,US,🇺🇸,EBT,DEBIT,,
514885,US,🇺🇸,MASTERCARD,DEBIT,BUSINESS,FIRST BANK KANSAS
544882,BR,🇧🇷,MASTERCARD,CREDIT,GOLD,"CREDICARD, S.A."
247084,,◻️,MASTERCARD,,,
813030,CN,🇨🇳,CHINA UNION PAY,,,
456310,TW,🇹🇼,VISA,CREDIT,CLASSIC,CATHAY UNITED BANK
510054,TR,🇹🇷,MASTERCARD,CREDIT,STANDARD,YAPI VE KREDI BANKASI A.S.
590237,CL,🇨🇱,MAESTRO,DEBIT,STANDARD,
472017,US,🇺🇸,VISA,CREDIT,BUSINESS,CF BANK
526504,US,🇺🇸,MASTERCARD,CREDIT,STANDARD,"WELLS FARGO BANK, N.A."
397180,US,🇺🇸,DISCOVER,CREDIT,BUSINESS,
369345,US,🇺🇸,DINERS CLUB INTERNATIONAL,CREDIT,,
499773,US,🇺🇸,VISA,CREDIT,,
501988,DK,🇩🇰,DANKORT,DEBIT,,
518868,AU,🇦🇺,MASTERCARD,DEBIT,STANDARD,"BENDIGO AND ADELAIDE BANK, LTD."
527452,RO,🇷🇴,MASTERCARD,CREDIT,STANDARD UNEMBOSSED,OTP BANK ROMANIA S.A.
485559,US,🇺🇸,VISA,CREDIT,,
226055,,◻️,MASTERCARD,,,
555208,US,🇺🇸,MASTERCARD,CREDIT,PURCHASING,WEX BANK
431146,US,🇺🇸,VISA,CREDIT,,"PNC BANK, N.A."
367917,US,🇺🇸,DINERS CLUB INTERNATIONAL,CREDIT,,
659432,US,🇺🇸,DISCOVER,CREDIT,PERSONAL,DISCOVER BANK
493072,US,🇺🇸,VISA,DEBIT,CLASSIC,"WELLS FARGO BANK, N.A."
346292,US,🇺🇸,AMERICAN EXPRESS,CREDIT,,
572199,US,🇺🇸,EBT,DEBIT,STANDARD,
113315,CA,🇨🇦,PRIVATE LABEL,,,CRESCENT GOLD AND DIAMONDS - TDFS
383612,US,🇺🇸,DISCOVER,CREDIT,BUSINESS,
457656,RU,🇷🇺,VISA,DEBIT,ELECTRON,RAMBANK MOSCOW
265583,,◻️,MASTERCARD,,,
813382,CN,🇨🇳,CHINA UNION PAY,,,
305467,US,🇺🇸,DINERS CLUB INTERNATIONAL,CREDIT,BUSINESS,
302972,US,🇺🇸,DINERS CLUB INTERNATIONAL,CREDIT,BUSINESS,
341268,US,🇺🇸,AMERICAN EXPRESS,CREDIT,,
432854,US,🇺🇸,VISA,DEBIT,CLASSIC,"WELLS FARGO BANK, N.A."
433034,QA,🇶🇦,VISA,CREDIT,,AHLI BANK Q.S.C.
509827,BR,🇧🇷,ELO,CREDIT,ALIMENTACAO,"BANCO BRADESCO, S.A."
259307,,◻️,MASTERCARD,,,
543492,TW,🇹🇼,MASTERCARD,CREDIT,GOLD,"YUANTA COMMERCIAL BANK CO., LTD."
371115,US,🇺🇸,AMERICAN EXPRESS,CREDIT,PERSONAL,AMERICAN EXPRESS US CONSUMER
365754,US,🇺🇸,DINERS CLUB INTERNATIONAL,CREDIT,,
302863,US,🇺🇸,DINERS CLUB INTERNATIONAL,CREDIT,BUSINESS,
444650,US,🇺🇸,VISA,CREDIT,,
504496,US,🇺🇸,EBT,DEBIT,,
581713,FR,🇫🇷,MAESTRO,DEBIT,,
653252,IN,🇮🇳,DISCOVER,CREDIT,PERSONAL,
673556,NL,🇳🇱,MAESTRO,DEBIT,STANDARD,ING
817146,CN,🇨🇳,CHINA UNION PAY,,,
603797,TR,🇹🇷,MAESTRO,DEBIT,PERSONAL,YAPI VE KREDI BANKASI A.S.
432831,US,🇺🇸,VISA,DEBIT,CLASSIC,VERMONT NATIONAL BANK
485932,US,🇺🇸,VISA,CREDIT,PURCHASING,
478111,US,🇺🇸,VISA,CREDIT,,
855743,CA,🇨🇦,PRIVATE LABEL,,,FUTURE SHOP - HSBC
388562,US,🇺🇸,DISCOVER,CREDIT,BUSINESS,
439254,BR,🇧🇷,VISA,CREDIT,CORPORATE T&E,"BANCO SANTANDER BRASIL, S.A."
397359,US,🇺🇸,DISCOVER,CREDIT,BUSINESS,
369410,JP,🇯🇵,DINERS CLUB INTERNATIONAL,CREDIT,PERSONAL,
424306,BR,🇧🇷,VISA,CREDIT,BUSINESS,"BANCO SANTANDER BRASIL, S.A."
428144,US,🇺🇸,VISA,CREDIT,,
542766,NZ,🇳🇿,MASTERCARD,CREDIT,PLATINUM,"ANZ BANK NEW ZEALAND, LTD."
635650,GB,🇬🇧,MAESTRO,DEBIT,,"HARRODS BANK, LTD."
652421,IN,🇮🇳,DISCOVER,CREDIT,PERSONAL,DISCOVER BANK
659942,US,🇺🇸,DISCOVER,CREDIT,PERSONAL,DISCOVER BANK
116879,CA,🇨🇦,PRIVATE LABEL,,,BEN MOSS JEWELLERS - TDFS
361087,US,🇺🇸,DINERS CLUB INTERNATIONAL,CREDIT,,
485113,US,🇺🇸,VISA,CREDIT,CLASSIC,SANDIA LABORATORY F.C.U.
271124,,◻️,MASTERCARD,,,
815479,CN,🇨🇳,CHINA UNION PAY,,,
644221,US,🇺🇸,DISCOVER,CREDIT,PERSONAL,DISCOVER BANK
908869,CA,🇨🇦,PRIVATE LABEL,,,YARD CARD CANADA
520958,IT,🇮🇹,MASTERCARD,CREDIT,STANDARD,FINDOMESTIC BANCA S.P.A.
243282,,◻️,MASTERCARD,,,
520934,BA,🇧🇦,MASTERCARD,CREDIT,STANDARD,NLB BANKA D.D. SARAJEVO
622911,CN,🇨🇳,CHINA UNION PAY,CREDIT,PERSONAL,
625455,CN,🇨🇳,CHINA UNION PAY,DEBIT,,
409761,US,🇺🇸,VISA,DEBIT,PREPAID,
522146,GT,🇬🇹,MASTERCARD,CREDIT,STANDARD,CREDOMATIC LATINO AMERICANA
512638,BG,🇧🇬,MASTERCARD,CREDIT,STANDARD,TRANSCARD FINANCIAL SERVICES EAD
238276,,◻️,MASTERCARD,,,
567492,US,🇺🇸,EBT,DEBIT,,
513785,BZ,🇧🇿,MASTERCARD,CREDIT,STANDARD,
494019,ES,🇪🇸,VISA,DEBIT,CLASSIC,BANCO BILBAO VIZCAYA ARGENTARIA S.A. (BBVA)
426308,US,🇺🇸,VISA,CREDIT,,ING
524897,US,🇺🇸,MASTERCARD,CREDIT,STANDARD,FIRST NATIONAL BANK
525742,SM,🇸🇲,MASTERCARD,CREDIT,STANDARD,BANCA SAMMARINESE DI INVESTIMENTO SPA
376784,US,🇺🇸,AMERICAN EXPRESS,CREDIT,CONSUMER CHARGE,AMERICAN EXPRESS US CONSUMER
644959,US,🇺🇸,DISCOVER,CREDIT,PERSONAL,DISCOVER BANK
519710,AR,🇦🇷,MASTERCARD,CREDIT,BLACK,BANCO ITAU ARGENTINA S.A.
510330,US,🇺🇸,MASTERCARD,DEBIT,STANDARD,FIFTH THIRD BANK
227001,,◻️,MASTERCARD,,,
544363,RU,🇷🇺,MASTERCARD,DEBIT,WORLD BLACK,ZAO RAIFFEISENBANK
441877,US,🇺🇸,VISA,CREDIT,CLASSIC,"CARD SERVICES FOR CREDIT UNIONS, INC."
657787,US,🇺🇸,DISCOVER,CREDIT,PERSONAL,DISCOVER BANK
509790,BR,🇧🇷,ELO,CREDIT,,DISPONIVEL
365094,US,🇺🇸,DINERS CLUB INTERNATIONAL,CREDIT,,
812300,CN,🇨🇳,CHINA UNION PAY,,,
380545,US,🇺🇸,DISCOVER,CREDIT,BUSINESS,
457860,RU,🇷🇺,VISA,DEBIT,GOLD,OJSC BANK URALSIB
424472,HR,🇭🇷,VISA,DEBIT,ELECTRON,ERSTE AND STEIERMARKISCHE BANK D.D.
385286,US,🇺🇸,DISCOVER,CREDIT,BUSINESS,
342447,US,🇺🇸,AMERICAN EXPRESS,CREDIT,,
522824,VE,🇻🇪,MASTERCARD,CREDIT,BLACK,"CONSORCIO CREDICARD, C.A."
595850,DE,🇩🇪,MAESTRO,DEBIT,STANDARD,
385087,US,🇺🇸,DISCOVER,CREDIT,BUSINESS,
362120,BR,🇧🇷,DINERS CLUB INTERNATIONAL,CREDIT,BUSINESS,
347935,US,🇺🇸,AMERICAN EXPRESS,CREDIT,,
812496,CN,🇨🇳,CHINA UNION PAY,,,
365455,CO,🇨🇴,DINERS CLUB INTERNATIONAL,CREDIT,STANDARD,
410116,US,🇺🇸,VISA,CREDIT,CLASSIC,"PNC BANK, N.A."
509393,BR,🇧🇷,ELO,CREDIT,,DISPONIVEL
110218,CA,🇨🇦,PRIVATE LABEL,,,BOSE - TDFS
264362,,◻️,MASTERCARD,,,
367058,IN,🇮🇳,DINERS CLUB INTERNATIONAL,CREDIT,BUSINESS,
467203,US,🇺🇸,VISA,CREDIT,REWARDS,MONTECITO BANK & TRUST
479738,GB,🇬🇧,VISA,CREDIT,,SANTANDER UK PLC
547821,PA,🇵🇦,MASTERCARD,CREDIT,CORPORATE,BANCO GENERAL S.A.
554056,ES,🇪🇸,MASTERCARD,CREDIT,STANDARD,"KUTXA BANK, S.A."
436005,FR,🇫🇷,VISA,CREDIT,,
416579,FR,🇫🇷,VISA,DEBIT,PERSONAL,
416702,RU,🇷🇺,VISA,DEBIT,ELECTRON,JSCB BINBANK
233327,,◻️,MASTERCARD,,,
422583,US,🇺🇸,VISA,CREDIT,CLASSIC,"CHASE MANHATTAN BANK USA, N.A."
426613,AE,🇦🇪,VISA,CREDIT,INFINITE,NETWORK INTERNATIONAL LLC
540633,US,🇺🇸,MASTERCARD,CREDIT,PLATINUM,"CAPITAL ONE, N.A."
303455,US,🇺🇸,DINERS CLUB INTERNATIONAL,CREDIT,BUSINESS,
343076,US,🇺🇸,AMERICAN EXPRESS,CREDIT,,
599032,PL,🇵🇱,MAESTRO,DEBIT,STANDARD,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI S.A. (PKO BANK
469387,IN,🇮🇳,VISA,DEBIT,PREPAID,"IDBI BANK, LTD."
485311,US,🇺🇸,VISA,DEBIT,CLASSIC,"U.S. BANK, N.A."
110170,CA,🇨🇦,PRIVATE LABEL,,,BOSE - TDFS
474657,US,🇺🇸,VISA,DEBIT,CLASSIC,APPLE F.C.U.
536630,HK,🇭🇰,MASTERCARD,CREDIT,CORPORATE EXECUTIVE,"HANG SENG BANK, LTD."
427776,US,🇺🇸,VISA,CREDIT,,
428030,US,🇺🇸,VISA,DEBIT,CLASSIC,"WELLS FARGO BANK, N.A."
505495,US,🇺🇸,EBT,DEBIT,,
371604,US,🇺🇸,AMERICAN EXPRESS,CREDIT,PERSONAL,AMERICAN EXPRESS US CONSUMER
451103,LK,🇱🇰,VISA,CREDIT,,"SEYLAN BANK, LTD."
506380,MX,🇲🇽,CARNET,DEBIT,PREPAID,PROGRAMAS DE RELACIONAMIENTO MEDA
558145,US,🇺🇸,MASTERCARD,DEBIT,BUSINESS,"U.S. BANK, N.A."
271228,,◻️,MASTERCARD,,,
253178,,◻️,MASTERCARD,,,
389872,US,🇺🇸,DISCOVER,CREDIT,BUSINESS,
659938,US,🇺🇸,DISCOVER,CREDIT,PERSONAL,DISCOVER BANK
365232,US,🇺🇸,DINERS CLUB INTERNATIONAL,CREDIT,,
354719,JP,🇯🇵,JCB,CREDIT,,
437518,UA,🇺🇦,VISA,DEBIT,CLASSIC,SUBSIDIARY BANK SAVINGS BANK OF THE RUSSIAN FEDERATION (SBERBANK) PJSC
509912,BR,🇧🇷,ELO,DEBIT,FOOD CARD,
547016,US,🇺🇸,MASTERCARD,CREDIT,GOLD,COMMUNITY FIRST CREDIT UNION OF FLORIDA
542512,US,🇺🇸,MASTERCARD,CREDIT,,"JPMORGAN CHASE BANK, N.A."
363821,US,🇺🇸,DINERS CLUB INTERNATIONAL,CREDIT,,
517963,UA,🇺🇦,MASTERCARD,DEBIT,PREPAID,PUJSC FIDOBANK
415660,US,🇺🇸,VISA,CREDIT,CLASSIC,"CARD SERVICES FOR CREDIT UNIONS, INC."
522449,QA,🇶🇦,MASTERCARD,DEBIT,PREPAID RELOADABLE,QATAR NATIONAL BANK
904328,CA,🇨🇦,PRIVATE LABEL,,,YARD CARD CANADA
404161,PR,🇵🇷,VISA,DEBIT,,"BASE INTERCHANGE SYSTEM ASSOCIATION PUERTO RICO LEAGUE, INC."
454411,CA,🇨🇦,VISA,CREDIT,,BANQUE LAURENTIENNE DU CANADA
107580,ES,🇪🇸,UATP,CREDIT,UATP,IBERIA LINEAS AEREAS DE ESPANA
650988,US,🇺🇸,DISCOVER,CREDIT,PERSONAL,DISCOVER BANK
651009,US,🇺🇸,DISCOVER,CREDIT,PERSONAL,DISCOVER BANK
114057,CA,🇨🇦,PRIVATE LABEL,,,CANTREX - TDFS
375422,NO,🇳🇴,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS
595310,BR,🇧🇷,MAESTRO,DEBIT,STANDARD,
305687,US,🇺🇸,DINERS CLUB INTERNATIONAL,CREDIT,BUSINESS,
453784,CA,🇨🇦,VISA,CREDIT,,BANK OF NOVA SCOTIA
600102,IT,🇮🇹,MAESTRO,DEBIT,,
471253,GE,🇬🇪,VISA,DEBIT,CLASSIC,JSC CARTU BANK
595188,CA,🇨🇦,MAESTRO,DEBIT,STANDARD,
